#,"Genus, Species, Cultivar/ Variety (if applicable); or Common Name",GPS/Latitude,GPS/Longitude,DBH,Height,Crown Condition,Trunk Condition,Root Condition,Notes & Prunings
121,Elm (Ulmus 'Princeton'),N42.007457,W-87.658999,"2""",15',4,3,4,"When tree was planted in 2016, thick bands were left on the tree about 10' up. The bands should get removed. planted in 2016"
122,"Maple (Acer x ""Freemanii ?)",N42.007453,W-87.659007,"3""",15',4,4,4,
123,"Maple (Acer x ""Freemanii ?)",N42.007458,W-87.659020,"3""",13',3,3,4,"When tree was planted in 2016, thick bands were left on the tree about 10' up. The bands should get removed. planted in 2016"
124,Red Oak (Quercus rubra),N42.007630,W-87.659000,"5.2""",22',2,4,4,some dead branches; planted in 2016?
125,Red Oak (Quercus rubra),N42.007680,W-87.658987,"5.8""",26',2,3,4,some dead branches; planted in 2016?
126,"Maple (Acer x ""Freemanii ?)",N42.007810,W-87.659010,"2.7""",48',2,2,4,multiple competing branches; dead branches; July 2018: lots of leaf die-off; planted in 2016
127,Honey Locust (Gleditsia triacanthos inermis) (thornless),N42.007880,W-87.658920,"2.7""",13',4,4,4,could use bottom branch pruned off; planted in 2016
128,Kentucky Coffee Tree (Gymnocladus dioicus),N42.007800,W-87.658940,"2.5""",10',3,4,4,
129,Elm (Ulmus 'Princeton'),N42.007800,W-87.658970,"3.1""",13',4,4,4,
130,Basswood (Tilia americana),N42.007660,W-87.658880,"2.8""",10',4,4,4,
131,Sugar Maple (Acer saccharum),N42.007780,W-87.658680,"19.4""",36',1,1,2,DYING
132,Sugar Maple (Acer saccharum),N42.007730,W-87.658730,"19.4""",40',3,3,3,
133,Crabapple (Malus species),N42.007790,W-87.658530,"2.5""",10',2,2,2,sandy soil; multi-trunked; needs pruning
134,Crabapple (Malus species),N42.007702,W-87.658453,"3.1""",9',2,2,2,sandy soil; multi-trunked; needs pruning
135,Crabapple (Malus species),N42.007696,W-87.658413,"3.8""",9',2,2,2,growing over sidewalk; needs pruning
136,"Maple (Acer x ""Freemanii ?)",N42.007508  +/-16 ft,W-87.657391,"3.1""",14',4,4,4,tape or thick bands @ top of tree from when it was planted in 2016. Bands should get removed.
137,Hackberry (Celtis occidentalis),N42.007604,W-87.658355,"1.9""",14',4,3,3,scratched-up trunk; girdling roots; nail in bark
138,Elm (Ulmus 'Princeton'),N42.007527,W-87.658221,"3.0""",15',4,4,2,roots have been severed by lawn mower
139,Red Maple (Acer rubrum),N42.007580,W-87.658344,"20.7""",30',3,2,2,some missing bark (sealed-over); hot coal damage
140,Red Maple (Acer rubrum),N42.007438,W-87.658213,"20.7""",31',3,2,2,hot coal damage
141,Red Maple (Acer rubrum),N42.007443,W-87.658190,"21.8""",20',2,2,2,hot coal damage
142,Honey Locust (Gleditsia triacanthos),N42.007551,W-87.658107,"2.5""",14',4,4,4,planted in 2016
143,Catalpa (Catalpa speciosa),N42.007488,W-87.658006,"2.5""",9',3,3,4,planted in 2016. Some damage on bark. Some broken branches (wind damage?)
144,Elm (Ulmus 'Princeton'),N42.007470,W-87.657997,"1.8""",12',4,2,4,planted in 2016. Damage to bark (knife?) Sap bleeding from gashes.
145,Cornelia Cherry Dogwood (Cornus mas),N42.007416,W-87.657900,"2""",9',4,3,4,Multi-stemmed shrub. Lots of crossing branches. Could use pruning.
146,Maple (Sugar? Red?),N42.007350,W-87.658011,"10.7""",29',4,2,3,Carving on trunk (romantic); girdling roots; missing/sealed-over bark. White at base of trunk (coal damage?)
147,Basswood (Tilia americana),N42.007357,W-87.657976,"8.3""",25',4,3,3,"Trunk: enclosed bark. Some white at base of tree charcoal damage?)  Missing, sealed-over bark."
148,"Maple (Acer x ""Freemanii ?)",N42.007307,W-87.657898,"2.7""",10',4,4,4,"When tree was planted in 2016, thick bands were left on the tree "
149,Tree stump-unknown,N42.007238,W-87.657932,"6.3""",3',1,1,1,long-gone tree. Just stump left. Isn't really doing anyone any harm.
150,Chinkapin Oak (Quercus muehlenbergii),N42.007235,W-87.657989,"5.7""",18',3,4,4,Broken branches. Could use pruning.
151,White Ash (Fraxinus americana) ?,N42.007796,W-87.65619,"8""",18',2,3,2,In island at end of street (may not be a park district tree?). Stands in water after heavy rains. Innoculated in 2013.
152,White Pine (Pinus strobus),N42.006790,W-87.658507,"14""",30',3,3,3,some branches pruned away from sidewalk to make room for trucks (2018)
153,Ash (Fraxinus),N42.006800,W-87.658908,"13""",36',3,4,3,multi-trunked (3); some recently (2018) cut. Stands in water after heavy rains. 
154,Honey locust (Gladitsia triacanthos),N42.006800,W-87.659082,"29.6""",50',3,4,3,Split trunk. Leaning: growing away from larger tree to the north.
155,Hackberry (Celtis occidentalis),N42.006884,W-87.659092,"12""",25',3,2,3,
156,Norway Maple (Acer platanoides),N42.006942,W-87.659085,"13.5""",30',4,4,3,
157,Crabapple (Malus species),N42.007021,W-87.659129,"3.3""",10',4,3,4,
158,Kentucky Coffee Tree (Gymnocladus dioicus),N42.006988,W-87.658975,"2.1""",11',3,4,4,Some broken branches. Dark sap oozing from trunk.
159,Red Oak (Quercus rubra),N42.006941,W-87.658966,"29.6""",45',3,2,4,Broken branches
160,Honey locust (Gladitsia triacanthos),N42.007100,W-87.659148,"29""",50',3,3,4,
161,"Maple (Acer x ""Freemanii ?)",N42.007319,W-87.659113,"3.2""",13',4,4,4,Planted in 2016. 
161B,Elm (Ulmus 'Princeton'),N42.007234,W-87.659143,"10""",16',4,4,4,"Planted in 2016. When tree was planted, thick bands were left on the tree."
162,Honey locust (Gladitsia triacanthos),N42.007339,W-87.659088,"27.7""",45',2,3,2,
163,Honey locust (Gladitsia triacanthos),N42.007374,W-87.659210,"29.6""",42',2,1,3,Leaning. Epicormic shoots. Peeling bark. Many dead branches.
